the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.61223910523854, 41.801204166742274]}",610587,DYETT ARTS HS,"555 E 51ST ST, 60615",HS,"9, 10, 11, 12",Traditional,-87.61223911,41.80120417,10,7,21192,218,10
"{'type': 'Point', 'coordinates': [-87.66572105551441, 41.74312177077344]}",400111,LEARN - PERKINS,"1700 W 83RD ST, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7",Traditional,-87.66572106,41.74312177,59,70,21554,532,13
"{'type': 'Point', 'coordinates': [-87.70520632189692, 41.93943320993384]}",610568,PATHWAYS - AVONDALE HS,"3100 W BELMONT AVE, 60618",HS,"9, 10, 11, 12",Options,-87.70520632,41.93943321,39,22,21538,425,20
"{'type': 'Point', 'coordinates': [-87.6395207211878, 41.72362690608982]}",610027,KIPLING,"9351 S LOWE AVE, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63952072,41.72362691,59,72,21554,631,13
"{'type': 'Point', 'coordinates': [-87.60172726635133, 41.753747955954495]}",609712,HIRSCH HS,"7740 S INGLESIDE AVE, 60619",HS,"9, 10, 11, 12",Traditional,-87.60172727,41.75374796,61,67,21546,497,35
"{'type': 'Point', 'coordinates': [-87.68406493864751, 41.84544601584807]}",400164,INSTITUTO - LOZANO HS,"2570 S BLUE ISLAND AVE, 60608",HS,"9, 10, 11, 12",Options,-87.68406494,41.84544602,43,33,14920,204,26
"{'type': 'Point', 'coordinates': [-87.6594189761571, 41.87910254299057]}",610177,SKINNER,"1260 W ADAMS ST, 60607",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65941898,41.87910254,44,29,14917,91,46
"{'type': 'Point', 'coordinates': [-87.7593983851352, 41.89361221140248]}",610000,HOWE,"720 N LOREL AVE, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.75939839,41.89361221,32,26,22216,673,45
"{'type': 'Point', 'coordinates': [-87.64034074984382, 41.83959485632559]}",609979,HEALY,"3010 S PARNELL AVE, 60616",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64034075,41.83959486,40,58,21194,155,48
"{'type': 'Point', 'coordinates': [-87.64912434694988, 41.76389597409205]}",610565,CAMELOT - EXCEL ENGLEWOOD HS,"7141 S MORGAN ST, 60621",HS,"8, 9, 10, 11, 12",Options,-87.64912435,41.76389597,11,66,21559,512,32
"{'type': 'Point', 'coordinates': [-87.67776251684462, 42.017087591807865]}",609865,JORDAN,"7414 N WOLCOTT AVE, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67776252,42.01708759,9,10,21853,52,5
"{'type': 'Point', 'coordinates': [-87.6777609807152, 41.90705300511754]}",610229,PRITZKER,"2009 W SCHILLER ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67776098,41.90705301,4,25,21560,481,41
"{'type': 'Point', 'coordinates': [-87.73217877767887, 41.941677603980125]}",610159,SCAMMON,"4201 W HENDERSON ST, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73217878,41.9416776,21,16,22618,329,21
"{'type': 'Point', 'coordinates': [-87.6064738469046, 41.657404970392605]}",609848,ALDRIDGE,"630 E 131ST ST, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60647385,41.65740497,47,51,4460,9,43
"{'type': 'Point', 'coordinates': [-87.74009743580562, 41.80757850768547]}",400009,GLOBAL CITIZENSHIP,"4647 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.74009744,41.80757851,56,53,22248,606,8
"{'type': 'Point', 'coordinates': [-87.63475051652762, 41.74886822530019]}",610300,WESTCOTT,"409 W 80TH ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63475052,41.74886823,59,40,21554,1,31
"{'type': 'Point', 'coordinates': [-87.69600602219909, 41.902849698067484]}",400131,YCCS - CAMPOS,"2739 W DIVISION ST, 60622",HS,"9, 10, 11, 12",Options,-87.69600602,41.9028497,4,25,21560,543,49
"{'type': 'Point', 'coordinates': [-87.78197453752607, 41.95886803640001]}",610179,SMYSER,"4310 N MELVINA AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.78197454,41.95886804,52,15,22254,131,19
