school_id,legacy_unit_id,finance_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,summary,administrator_title,administrator,secondary_contact_title,secondary_contact,phone,fax,cps_school_profile,website,attendance_boundaries,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific_islander,student_count_multi,student_count_hawaiian_pacific_islander,student_count_ethnicity_not_available,statistics_description,demographic_description,dress_code,kindergarten_school_day,school_hours,title_1_eligible,transportation_bus,overall_rating,rating_status,rating_statement,classification_description,school_year,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,open_for_enrollment_date,school_latitude,school_longitude,location,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_rpca_8um6,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,facebook,earliest_drop_off_time,classroom_languages,transportation_el,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,third_contact_title,third_contact_name,after_school_hours,fourth_contact_title,fourth_contact_name,bilingual_services,prek_school_day,preschool_instructional,significantly_modified,transportation_metra,twitter,refugee_services,preschool_inclusive,freshman_start_end_time,fifth_contact_title,fifth_contact_name,youtube,sixth_contact_title,sixth_contact_name,seventh_contact_title,seventh_contact_name,pinterest,hard_of_hearing,visual_impairments
610521,7000,29391,DAVIS M,Sir Miles Davis Magnet Elementary Academy,ES,N,Y,Y,N,"Miles Davis Magnet Academy provides each student with a rigorous instructional program focused on engineering, technology, math, science and literacy. Our goal is to stimulate personal growth and develop lifelong learners who are prepared to become constructive members of our global society.",Principal,Cheryl Elaine Armstrong-Belt,Other,Ms. Kimberly Simon,7735359120,7735359129,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610521,http://www.milesdavismagnet.org,N,"K,1,2,3,4,5,6,7,8",K-8,237,227,45,10,216,20,0,0,0,0,0,1,0,0,There are 237 students enrolled at DAVIS M.  95.8% are Low Income Students.  19% are Diverse Learners.  4.2% are Limited English Learners.,The largest demographic at DAVIS M is Black.  This demographic makes up 91.1% of the student population.  The second greatest demographic is Hispanic at 8.4%.,Y,Full Day,07:45 AM-02:45 PM,Y,9,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2017-2018,Network 11,Y,N,Y,N,2008-07-01T00:00:00.000,41.771221,-87.66653,"{'latitude': '41.771221', 'longitude': '-87.66653', 'human_address': '{""address"": ""6740 S PAULINA ST"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60636""}'}",65,22257,23,283,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609750,1750,49051,SIMPSON HS,Simpson Academy HS for Young Women,HS,Y,Y,Y,N,``,Principal,Mrs.Sherita D Carter-King,Guidance Counselor,Veronica Falls,7735347812,7735347819,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609750,http://www.simpsonacademy.org/,N,"6,7,8,9,10,11,12",6-12,34,25,3,3,25,9,0,0,0,0,0,0,0,0,There are 34 students enrolled at SIMPSON HS.  73.5% are Low Income Students.  8.8% are Diverse Learners.  8.8% are Limited English Learners.,The largest demographic at SIMPSON HS is Black.  This demographic makes up 73.5% of the student population.  The second greatest demographic is Hispanic at 26.5%.,N,,8:00  AM - 3:00  PM,Y,,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2017-2018,Network 15,N,N,N,N,2004-09-01T00:00:00.000,41.864365,-87.668722,"{'latitude': '41.864365', 'longitude': '-87.668722', 'human_address': '{""address"": ""1321 S PAULINA ST"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60608""}'}",29,14920,43,96,23,http://www.facebook.com/SAYWHS,7:30 AM,Spanish,Pink,33.3,59.8,23.1,77.5,Office,Rita Somen,,,,,,,,,,,,,,,,,,,,,,
610386,1123,67021,PEACE AND EDUCATION HS,Peace & Education Coalition HS,HS,Y,N,N,N,"The Peace and Education Coalition Accelerated High School Program provides a non-traditional educational opportunity for out-of-school and off-track youth, ages 16-21, who desire to achieve a high school diploma and a new chance to fully participate in the economic and social spheres of life through guidance and support. We believe that all students deserve to be surrounded by adults who believe in their unlimited, personal potential.  We believe that every student deserves an educational environment that is welcoming and safe. We believe that every child deserves rich educational, career, and social-emotional guidance and support in order to define the pathways to the options he or she chooses.",Principal,Brigitte Lee Swenson,Assistant Principal/Second Chance Campus,Lyssette Guzman,7735359212,7735359477,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610386,http://peaceandeducationschools.org,N,"10,11,12",10-12,94,58,16,13,29,62,2,0,0,0,0,1,0,0,There are 94 students enrolled at PEACE AND EDUCATION HS.  61.7% are Low Income Students.  17% are Diverse Learners.  13.8% are Limited English Learners.,The largest demographic at PEACE AND EDUCATION HS is Hispanic.  This demographic makes up 66% of the student population.  The second greatest demographic is Black at 30.9%.,Y,,8:45 AM - 3:55 PM,Y,,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2017-2018,ISP,N,N,N,N,2004-09-01T00:00:00.000,41.803515,-87.667378,"{'latitude': '41.803515', 'longitude': '-87.667378', 'human_address': '{""address"": ""4946 S PAULINA ST"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60609""}'}",59,14924,37,740,4,https://www.facebook.com/Peace-and-Education-Coalition-Accelerated-High-School-235065559846425/,8:15 AM,"French, Spanish",,17.8,59.8,,,"773-535-9212, Option 0",Sinclair Campus,3:55 PM,773-535-1453,Second Chance Campus,,,,,,,,,,,,,,,,,,,
400123,9040,66106,YCCS - SCHOLASTIC ACHIEVEMENT,YCCS- Academy of Scholastic Achievement HS,HS,Y,N,N,N,YCCS-Academy of Scholastic Achievement,Director,Ms. Nicole Simpson,Assistant Principal,Marvin Simpson,7739211315,7739218324,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400123,http://asaschool.org,N,"9,10,11,12",9-12,172,77,33,1,165,6,0,0,1,0,0,0,0,0,There are 172 students enrolled at YCCS - SCHOLASTIC ACHIEVEMENT.  44.8% are Low Income Students.  19.2% are Diverse Learners.  0.6% are Limited English Learners.,The largest demographic at YCCS - SCHOLASTIC ACHIEVEMENT is Black.  This demographic makes up 95.9% of the student population.  The second greatest demographic is Hispanic at 3.5%.,Y,,8:00 AM - 2:44 PM,Y,"20, 54",Level 2+,NOT APPLICABLE,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2017-2018,Options,N,N,N,N,2012-07-01T00:00:00.000,41.880447,-87.742539,"{'latitude': '41.880447', 'longitude': '-87.742539', 'human_address': '{""address"": ""4651 W MADISON ST"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60644""}'}",26,22216,32,69,23,,,,Green,10.9,59.8,,,,,,,,N,,,,,,,,,,,,,,,,,,
400116,9033,66591,MONTESSORI ENGLEWOOD,The Montessori School of Englewood Charter,ES,N,Y,Y,Y,,Director,Ms. Rita Nolan,,,7735359255,7735359590,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400116,http://www.tmsoe.org,N,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",333,191,48,2,323,9,1,0,0,0,0,0,0,0,There are 333 students enrolled at MONTESSORI ENGLEWOOD.  57.4% are Low Income Students.  14.4% are Diverse Learners.  0.6% are Limited English Learners.,The largest demographic at MONTESSORI ENGLEWOOD is Black.  This demographic makes up 97% of the student population.  The second greatest demographic is Hispanic at 2.7%.,N,,8:00 AM-3:45 PM,Y,,Level 1,NOT APPLICABLE,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2017-2018,Charter,N,N,N,N,2012-07-01T00:00:00.000,41.774572,-87.676147,"{'latitude': '41.774572', 'longitude': '-87.676147', 'human_address': '{""address"": ""6936 S HERMITAGE AVE"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60636""}'}",65,22257,23,282,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610200,6180,25601,THORP J,James N Thorp Elementary School,ES,N,Y,Y,Y,"Thorp Elementary is a neighborhood school offering a general education curriculum supplemented by before- and after-school programs in reading, math, computers, and fine arts. We also have a Special Needs Cluster Program to service students with disabilities. Thorp has partnerships with SkyArt, Columbia College, Concerned Christian Men, Special Olympics, Buddy Baseball and AARP.",Principal,Sharrone M Travis,Assistant Principal,Julie Kortz,7735356250,7735356582,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610200,http://www.jnthorp.org,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",310,241,96,48,236,66,6,0,0,0,0,2,0,0,There are 310 students enrolled at THORP J.  77.7% are Low Income Students.  31% are Diverse Learners.  15.5% are Limited English Learners.,The largest demographic at THORP J is Black.  This demographic makes up 76.1% of the student population.  The second greatest demographic is Hispanic at 21.3%.,Y,Full Day,07:45 AM-02:45 PM,Y,"5, 26, 71, 87",Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2017-2018,Network 12,Y,N,Y,N,2004-09-01T00:00:00.000,41.733324,-87.54428,"{'latitude': '41.733324', 'longitude': '-87.54428', 'human_address': '{""address"": ""8914 S BUFFALO AVE"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60617""}'}",42,21202,25,175,47,,,,,,,,,,,,,,Y,Full and Half Day,Y,Y,Metra Electric District (ME),,,,,,,,,,,,,,
610089,5020,24621,MURPHY,John B Murphy Elementary School,ES,N,Y,Y,Y,"John B. Murphy Elementary School has a long and proud tradition of serving children, their families and our neighborhood. As a Fine and Performing Arts Neighborhood Magnet Cluster School, success is defined by academic and social achievement while embracing the whole child. Through these means we develop an appreciation of the arts through a variety of experiences in music, visual arts, dance and drama. We align our social approach to children and families to the Responsive Classroom (Preschool-Grade 4) and Developmental Designs (Grade 5-8) methods. We have a long-term investment into the success of each student and family that targets their success in college, career and life. We have been awarded Exemplary SEL status and work to achieve greater improvements every day.",Principal,Christine Dagny Zelenka,Assistant Principal,Rebeca Shick,7735345223,7735345212,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610089,http://www.murphy.cps.edu/,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",544,325,79,183,17,397,95,15,2,0,0,17,1,0,There are 544 students enrolled at MURPHY.  59.7% are Low Income Students.  14.5% are Diverse Learners.  33.6% are Limited English Learners.,The largest demographic at MURPHY is Hispanic.  This demographic makes up 73% of the student population.  The second greatest demographic is White at 17.5%.,Y,Full Day,08:00 AM-03:00PM,Y,"82, 152",Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2017-2018,Network 1,Y,N,Y,N,2004-09-01T00:00:00.000,41.950078,-87.716832,"{'latitude': '41.950078', 'longitude': '-87.716832', 'human_address': '{""address"": ""3539 W GRACE ST"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60618""}'}",16,21538,39,325,12,https://www.facebook.com/JohnBMurphySchool,7:50 AM,"Spanish, Spanish for Heritage Speakers",Blue,,,,,Clerk,Laura Aguirre,,,,Y,Full and Half Day,,,,http://twitter.com/jbmurphyschool,Y,,,,,,,,,,,,
609895,3110,29041,TURNER-DREW,Turner-Drew Elementary Language Academy,ES,N,Y,Y,N,"Turner-Drew offers an educational program that emphasizes literacy, mathematics, and world language. In addition to the CPS curriculum, we also provide instruction in French and Spanish. 395 students are enrolled in the school, and we consistently make Adequate Yearly Progress (AYP). Our sports program includes girls and boys basketball, cheerleading, and chess.",Principal,Sabrina Boone Jackson,Other,Ms. Linda Woods,7735355720,7735355203,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609895,http://www.turner-drew.cps.edu,N,"K,1,2,3,4,5,6,7,8",K-8,212,145,31,0,209,2,0,0,0,0,0,0,0,1,There are 212 students enrolled at TURNER-DREW.  68.4% are Low Income Students.  14.6% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at TURNER-DREW is Black.  This demographic makes up 98.6% of the student population.  The second greatest demographic is Hispanic at 0.9%.,Y,Full Day,07:45 AM-02:45 PM,Y,"95W, 108, 112, 352, 381",Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2017-2018,Network 11,Y,N,Y,N,2004-09-01T00:00:00.000,41.725609,-87.630164,"{'latitude': '41.725609', 'longitude': '-87.630164', 'human_address': '{""address"": ""9300 S PRINCETON AVE"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60620""}'}",45,21554,59,187,13,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610580,9653,65020,BRIDGESCAPE - HUMBOLDT PARK HS,Bridgescape Academy Humboldt Park,HS,Y,N,N,N,,Principal,Ms. Kisha Lang,,,7732760620,7732760692,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610580,http://bridgescape.com,N,"9,10,11,12",9-12,101,72,18,10,38,54,6,2,1,0,0,0,0,0,There are 101 students enrolled at BRIDGESCAPE - HUMBOLDT PARK HS.  71.3% are Low Income Students.  17.8% are Diverse Learners.  9.9% are Limited English Learners.,The largest demographic at BRIDGESCAPE - HUMBOLDT PARK HS is Hispanic.  This demographic makes up 53.5% of the student population.  The second greatest demographic is Black at 37.6%.,N,,,,,Level 2+,NOT APPLICABLE,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2017-2018,Options,N,N,N,N,2014-07-01T00:00:00.000,41.902925,-87.687889,"{'latitude': '41.902925', 'longitude': '-87.687889', 'human_address': '{""address"": ""2421 W DIVISION"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60622""}'}",25,21560,4,542,49,,,,,9.3,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,
609960,3710,23491,HALE,Nathan Hale Elementary School,ES,N,Y,Y,N,"Students at Hale receive weekly Art, Health, Physical Education and Computer Courses. The school offers Spanish classes for English language learners. Hale has several external partners and strives to push students to reach their full potential.",Principal,Dawn Elizabeth Iles-Gomez,Assistant Principal,Brian Michael Yracheta,7735352265,7735352275,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609960,http://haleschool.org/,Y,"K,1,2,3,4,5,6,7,8",K-8,899,575,121,139,15,668,204,8,2,0,0,1,1,0,There are 899 students enrolled at HALE.  64% are Low Income Students.  13.5% are Diverse Learners.  15.5% are Limited English Learners.,The largest demographic at HALE is Hispanic.  This demographic makes up 74.3% of the student population.  The second greatest demographic is White at 22.7%.,Y,Full Day,07:45 AM-02:45 PM,Y,"55A, 63W",Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2017-2018,Network 10,Y,N,Y,N,2004-09-01T00:00:00.000,41.780192,-87.776579,"{'latitude': '41.780192', 'longitude': '-87.776579', 'human_address': '{""address"": ""6140 S MELVINA AVE"", ""city"": ""Chicago"", ""state"": ""Illinois"", ""zip"": ""60638""}'}",62,22268,7,265,15,,7:25,,Orange,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
