school_id,legacy_unit_id,finance_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,summary,administrator_title,administrator,secondary_contact_title,secondary_contact,address,city,state,zip,phone,fax,cps_school_profile,website,facebook,attendance_boundaries,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific,student_count_multi,student_count_hawaiian_pacific,student_count_ethnicity_not,statistics_description,demographic_description,dress_code,prek_school_day,kindergarten_school_day,school_hours,after_school_hours,earliest_drop_off_time,classroom_languages,bilingual_services,title_1_eligible,preschool_inclusive,preschool_instructional,transportation_bus,transportation_el,school_latitude,school_longitude,overall_rating,rating_status,rating_statement,classification_description,school_year,third_contact_title,third_contact_name,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,open_for_enrollment_date,twitter,youtube,pinterest,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,significantly_modified,transportation_metra,fourth_contact_title,fourth_contact_name,fifth_contact_title,fifth_contact_name,seventh_contact_title,seventh_contact_name,refugee_services,visual_impairments,freshman_start_end_time,sixth_contact_title,sixth_contact_name,hard_of_hearing
609966,3750,23531,HAMMOND,Charles G Hammond Elementary School,ES,False,True,True,True,"Hammond creates a challenging learning environment that encourages high expectations making our students college and career ready by providing rigorous instruction driven by the Common Core State Standards.  Our school's vision and mission allows for individual differences and learning styles in order to develop our students"" social, emotional, and academic success.  We strive to have our parents, teachers, and community members involved in our students"" learning.",Principal,Ms.Anamaria Orbe,Asst Principal,Nicole McConnell,2819 W 21ST PL,Chicago,Illinois,60623,7735354580,7735354579,https://www.cps.edu/schools/schoolprofiles/609966,https://cps.edu/hammond,https://www.facebook.com/Charles-G-Hammond-School-240004082842944/,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",342,336,63,132,33,304,2,0,0,0,0,3,0,0,There are 342 students enrolled at HAMMOND.  98.2% are Low Income Students.  18.4% are Diverse Learners.  38.6% are Limited English Learners.,The largest demographic at HAMMOND is Hispanic.  This demographic makes up 88.9% of the student population.  The second greatest demographic is Black at 9.6%.,False,Full and Half Day,Full Day,07:30 AM-02:30 PM,2:30 pm - 5:30 pm,7:30 am,Spanish,True,True,Y,Y,"21, 94",Pink,41.852719,-87.696243,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,Clerk,Migdalia Nikolic,Network 7,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
400069,4150,67081,POLARIS,Polaris Charter Academy,ES,False,True,True,False,"Polaris is committed to helping students become academically successful lifelong learners with a strong sense of personal and civic responsibility. Through experiential learning, fully integrated and infused literacy, and real world investigation, Polaris seeks to create the next generation of active and engaged citizens.",Director,Michelle Navarre,Other,Francesca Peck,620 N SAWYER AVE,Chicago,Illinois,60624,7735340820,7735346645,https://www.cps.edu/schools/schoolprofiles/400069,https://pcachicago.org,https://www.facebook.com/PolarisCharterAcademy,False,"K,1,2,3,4,5,6,7,8",K-8,378,343,64,8,337,33,5,0,0,0,0,3,0,0,There are 378 students enrolled at POLARIS.  90.7% are Low Income Students.  16.9% are Diverse Learners.  2.1% are Limited English Learners.,The largest demographic at POLARIS is Black.  This demographic makes up 89.2% of the student population.  The second greatest demographic is Hispanic at 8.7%.,True,,Full Day,7:50 am-4:00 pm,4:00 pm-6:00 pm,07:20 AM,,,True,,,,,41.89255,-87.707796,Level 2,NOT APPLICABLE,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2019-2020,Office Manager,Robin Alexander,Charter,False,False,False,False,2007-07-01T00:00:00.000,https://twitter.com/PolarisCA,https://www.youtube.com/channel/UCHblvjecJ7Bp29RCD6amsGQ,,,,,,,,,,,,,,,,,,,
610191,6070,29291,STONE,Stone Elementary Scholastic Academy,ES,False,True,True,False,"Stone Academy offers full-day kindergarten, algebra, art, music, technology and science lab. Tours are only available in the fall. Please call the office for an appointment.",Principal,James Joseph Brandon,Assistant Principal,Kate Nestler,6239 N LEAVITT ST,Chicago,Illinois,60659,7735342045,7735342092,https://www.cps.edu/schools/schoolprofiles/610191,http://stoneacademy.net/,,False,"K,1,2,3,4,5,6,7,8",K-8,607,319,52,121,142,98,171,166,2,0,0,26,2,0,There are 607 students enrolled at STONE.  52.6% are Low Income Students.  8.6% are Diverse Learners.  19.9% are Limited English Learners.,The largest demographic at STONE is White.  This demographic makes up 28.2% of the student population.  The second greatest demographic is Asian at 27.3%.,True,,Full Day,8:00  AM - 3:00  PM,,,,True,False,,,"49B, 84",Brown,41.995359,-87.684793,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2019-2020,,,Network 2,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
400173,9648,66801,PATHWAYS - BRIGHTON PARK HS,Pathways in Education- Brighton Park,HS,True,False,False,False,,Principal,Nicholas F Perez,,,3124 W 47TH ST,Chicago,Illinois,60632,7735791220,7735791224,https://www.cps.edu/schools/schoolprofiles/400173,https://pathwaysineducation.org,https://www.facebook.com/PathwaysInEducationIL,False,"9,10,11,12",9-12,408,341,42,67,12,378,14,3,1,0,0,0,0,0,There are 408 students enrolled at PATHWAYS - BRIGHTON PARK HS.  83.6% are Low Income Students.  10.3% are Diverse Learners.  16.4% are Limited English Learners.,The largest demographic at PATHWAYS - BRIGHTON PARK HS is Hispanic.  This demographic makes up 92.6% of the student population.  The second greatest demographic is White at 3.4%.,False,,,,,,,,,,,,,41.808226,-87.702645,Level 2+,NOT APPLICABLE,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2019-2020,,,Options,False,False,False,False,2014-07-01T00:00:00.000,https://twitter.com/pathwaysil,,https://www.pinterest.com/PieIllinois/,19.4,67.2,11.3,78.9,,,,,,,,,,,,,,
610153,5670,25191,RYDER,William H Ryder Math & Science Specialty ES,ES,False,True,True,True,"Our mission is to provide rigorous data driven instruction to every student regardless of ability. We want to promote the physical, social, emotional and academic development of students and prepare them to become successful scholars, leaders and responsible members of society. The pillars of our learning community are academic excellence, leadership development and social responsibility. We offer a rigorous, engaging curriculum that is aligned with Common Core State Standards, National Learning Standards and Illinois Learning Standards. Instruction, learning materials and assessments are differentiated to meet students’ unique, individual needs. We approach education from a holistic perspective and offer a vast array of programs, services, resources and supports to address every element that has potential to impact a student’s ability to excel in school. Every student has numerous opportunities to develop leadership skills. All students are given civic responsibilities and are expected to exhibit good character.",Principal,Aaron Rucker,Assistant Principal,Darnell Garner,8716 S WALLACE ST,Chicago,Illinois,60620,7735353843,7735353883,https://www.cps.edu/schools/schoolprofiles/610153,https://ryderschool.org,,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",402,360,116,3,396,4,1,0,0,0,0,1,0,0,There are 402 students enrolled at RYDER.  89.6% are Low Income Students.  28.9% are Diverse Learners.  0.7% are Limited English Learners.,The largest demographic at RYDER is Black.  This demographic makes up 98.5% of the student population.  The second greatest demographic is Hispanic at 1%.,True,Half Day,Full Day,08:45 AM-03:45 PM,,,,,True,,Y,"24, 87",Red,41.735379,-87.638843,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,Technology Coordinator,Montell Pinkston,Network 11,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,True,Rock Island District (RI),,,,,,,,,,,,
610117,5310,24851,PASTEUR,Louis Pasteur Elementary School,ES,False,False,True,True,"Pasteur School is a community school recognized for promoting excellence in learning for all students through the utilization of differentiated instruction and the integration of literature and writing across the curriculum. Partnerships include Ravinia, Museums, and Universities all of which enhance the educational experience of our students. Go Eagles!",Principal,Gerardo B Trujillo,Assistant Principal,Elvia Rincon,5825 S KOSTNER AVE,Chicago,Illinois,60629,7735352270,7735352235,https://www.cps.edu/schools/schoolprofiles/610117,https://pasteurschool.org,,True,"PK,K,1,2,3,4","PK,K-4",593,525,65,224,1,579,8,1,1,0,0,2,0,1,There are 593 students enrolled at PASTEUR.  88.5% are Low Income Students.  11% are Diverse Learners.  37.8% are Limited English Learners.,The largest demographic at PASTEUR is Hispanic.  This demographic makes up 97.6% of the student population.  The second greatest demographic is White at 1.3%.,True,Full Day,Full Day,8:15 AM-3:15 PM Main,,8:00 AM,Spanish,True,True,,,59,Orange,41.786895,-87.732666,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,ISP,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
610237,6540,25931,BEETHOVEN,Ludwig Van Beethoven Elementary School,ES,False,True,True,True,"Beethoven Elementary School services the students in the south part of the Bronzeville community from Grades PreK through 8. Our facility includes computer labs, a math lab, a science lab, a mobile computer research lab and algebra classes that score high within CPS. Beethoven’s other services include an on-site health clinic, before- and after-school care partner, and high school and college preparatory opportunities.",Principal,Mellodie L Brown,Assistant Principal,Mrs. LaVerne Wright,25 W 47TH ST,Chicago,Illinois,60609,7735351480,7735351478,https://www.cps.edu/schools/schoolprofiles/610237,https://www.beethovenelementarycps.org/,,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",241,233,38,0,236,2,3,0,0,0,0,0,0,0,There are 241 students enrolled at BEETHOVEN.  96.7% are Low Income Students.  15.8% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at BEETHOVEN is Black.  This demographic makes up 97.9% of the student population.  The second greatest demographic is White at 1.2%.,True,Full Day,Full Day,8:45 AM - 3:45 PM,3:45 PM -5:30 PM,8:35 AM,,True,True,,Y,47,Red,41.809135,-87.627137,Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,Counselor,Mrs. Lashonn Graham,Network 9,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,,Counselor,Mrs. Shirley Sherley,Clerk,Mr. Gustavo Del Real,Athletic Director,Mr. Andra Brown,,,,,,
609908,3250,23131,ESMOND,Esmond Elementary School,ES,False,True,True,True,"Esmond service students in Grades Pre-K-8th while implementing research-based instruction. We also offer educational programs for grades 6th - 8th in our International Baccalaureate Middile Years Program (I.B.M.Y.P.) Students are eligible to participate in after-school programs designed to strengthen reading, math, and science as we promote critical thinking skills and prepare all students to become college and career ready. Through 21st Century Community Partnership, we also offer educational programs to further develop social skills, such as hip hop dance, hair braiding, cheerleading, African Dance / Drums, cooking skills and world cuisine, line dancing for adults, multi media / library and science / math club, martial arts and numerous sports activities.",Principal,Angela Rene Tucker,Other,Mr. Edwin B. Mason,1865 W MONTVALE AVE,Chicago,Illinois,60643,7735352650,7735352676,https://www.cps.edu/schools/schoolprofiles/609908,https://esmond.cps.edu,,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",247,232,41,2,244,1,1,0,0,0,0,1,0,0,There are 247 students enrolled at ESMOND.  93.9% are Low Income Students.  16.6% are Diverse Learners.  0.8% are Limited English Learners.,The largest demographic at ESMOND is Black.  This demographic makes up 98.8% of the student population.  The second greatest demographic is White at 0.4%.,True,Half Day,Full Day,07:45 AM-02:45 PM,3:00 p.m. - 5:00 p.m.,7:45 a.m.,,,True,,,112,Red,41.68942,-87.669159,Level 2,PROVISIONAL SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,Network 10,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,Rock Island District (RI),,,,,,,,,,,,
609945,3590,23371,GOUDY,William C. Goudy Technology Academy,ES,False,True,True,True,"Goudy School is recognized for providing teachers and students with the technological resources needed to easily access and explore a world of knowledge and information in engaging classroom environments. Each classroom is equipped with interactive whiteboards and a variety of technology resources: computer lab, iPads, Media Arts laptops, Chromebooks, student response systems, NEOS, software, etc.",Principal,Pamela Susan Brandt,Assistant Principal,Mr. Bill Yeh,5120 N WINTHROP AVE,Chicago,Illinois,60640,7735342480,7735342588,https://www.cps.edu/schools/schoolprofiles/609945,https://goudy.cps.edu,,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",656,539,79,264,189,177,42,232,3,0,0,12,1,0,There are 656 students enrolled at GOUDY.  82.2% are Low Income Students.  12% are Diverse Learners.  40.2% are Limited English Learners.,The largest demographic at GOUDY is Asian.  This demographic makes up 35.4% of the student population.  The second greatest demographic is Black at 28.8%.,True,Half Day,Full Day,08:00 AM-03:00 PM,,,Spanish,True,True,,,"36, 151",Red,41.975817,-87.657912,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,ISP,True,False,True,False,2004-09-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
610223,6390,25811,WENTWORTH,Daniel S Wentworth Elementary School,ES,False,True,True,True,"Wentworth provides a haven for academic and social growth. Our mission is to prepare our students to be lifelong learners, productive citizens, and conscientious participants in a multi-cultural and technologically-advanced society, prepared for success in higher education. Wentworth partners with organizations including Salvation Army and By The Hand Club for Kids.",Principal,Janelle Lynette Thompson,Assistant Principal,Angela Rollins,1340 W 71ST ST,Chicago,Illinois,60636,7735353394,7735353434,https://www.cps.edu/schools/schoolprofiles/610223,https://wentworthschool.org,,True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",407,386,99,19,379,26,1,0,0,0,0,1,0,0,There are 407 students enrolled at WENTWORTH.  94.8% are Low Income Students.  24.3% are Diverse Learners.  4.7% are Limited English Learners.,The largest demographic at WENTWORTH is Black.  This demographic makes up 93.1% of the student population.  The second greatest demographic is Hispanic at 6.4%.,True,Full Day,Full Day,09:00 AM-04:00 PM,,,,,True,,Y,"8, 67",,41.765076,-87.658205,Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2019-2020,,,Network 11,True,False,True,False,2004-09-01T00:00:00.000,https://twitter.com/Wentworth_60621,,,,,,,True,,,,,,,,,,,,,
