school_id,legacy_unit_id,finance_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,summary,administrator_title,administrator,address,city,state,zip,phone,fax,cps_school_profile,website,attendance_boundaries,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific,student_count_multi,student_count_hawaiian_pacific,student_count_ethnicity_not,statistics_description,demographic_description,dress_code,kindergarten_school_day,school_hours,earliest_drop_off_time,title_1_eligible,transportation_bus,transportation_el,overall_rating,rating_status,rating_statement,classification_description,school_year,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,school_latitude,school_longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,secondary_contact_title,secondary_contact,twitter,prek_school_day,bilingual_services,facebook,youtube,after_school_hours,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,classroom_languages,refugee_services,third_contact_title,third_contact_name,fourth_contact_title,fourth_contact_name,fifth_contact_title,fifth_contact_name,freshman_start_end_time,sixth_contact_title,sixth_contact_name,significantly_modified,preschool_inclusive,preschool_instructional,visual_impairments,transportation_metra,seventh_contact_title,seventh_contact_name,hard_of_hearing,pinterest
400011,4730,66151,LOCKE A,Alain Locke Charter School,ES,False,True,True,False,"The mission of Alain Locke Charter School is to serve as a demonstration for urban charter schools by exemplifying excellence in academics, the arts and personal and social development. In doing so, Alain Locke prepares students to be globally competitive.",Director,Patrick Love,3141 W JACKSON BLVD,Chicago,Illinois,60612,773-265-7232,773-265-7258,{'url': 'https://www.cps.edu/schools/schoolprofiles/400011'},{'url': 'https://www.alainlocke.org'},False,"K,1,2,3,4,5,6,7,8",K-8,317,266,45,0,313,4,0,0,0,0,0,0,0,0,There are 317 students enrolled at LOCKE A.  83.9% are Low Income Students.  14.2% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at LOCKE A is Black.  This demographic makes up 98.7% of the student population.  The second greatest demographic is Hispanic at 1.3%.,True,Full Day,08:20 AM-04:00 PM,08:00 AM,True,"20, 52, 126",Blue,Level 2+,NOT APPLICABLE,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Charter,False,False,False,False,41.877248,-87.705235,"{'type': 'Point', 'coordinates': [-87.705235, 41.877248]}",28,28,21184,737,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609958,3690,29121,GUNSAULUS,Frank W Gunsaulus Elementary Scholastic Academy,ES,False,True,True,True,"Gunsaulus Scholastic Academy is a magnet school that combines rigorous academics, arts programming, health and wellness.  The goal of Gunsaulus is to develop students who will shine as learners and leaders in their community and beyond.  The school thrives on the collaboration among staff to create a school where every child's individual needs are met. 
 
Gunsaulus provides enrichment opportunities including high school algebra, band, student council, art, music, and ten different athletic programs. In addition, Gunsaulus supports the whole child through capstone experiences such as camping as well as trips beyond Chicago.  The school also emphasizes a positive environment and has been highlighted as a school within CPS that provides a safe environment for all. 
 
Gunsaulus Scholastic Academy creates an environment that promotes parent engagement and involvement.  The school encourages and welcomes parents to volunteer in classrooms and throughout the school.  Weekly, parents are provided healthy food options through the partnership with the Chicago Food Depository.  In addition, parent classes in literacy and fitness are provided weekly.",Principal,Kiltae Fernando Kim,4420 S SACRAMENTO AVE,Chicago,Illinois,60632,773-535-7215,773-535-7222,{'url': 'https://www.cps.edu/schools/schoolprofiles/609958'},{'url': 'https://gunsaulus.org'},False,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",652,506,66,266,14,602,10,19,0,0,0,4,0,3,There are 652 students enrolled at GUNSAULUS.  77.6% are Low Income Students.  10.1% are Diverse Learners.  40.8% are Limited English Learners.,The largest demographic at GUNSAULUS is Hispanic.  This demographic makes up 92.3% of the student population.  The second greatest demographic is Asian at 2.9%.,True,Full Day,7:30 AM-2:30 PM,,True,"62, 94",,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2022-2023,ISP,True,False,True,False,41.813007,-87.699364,"{'type': 'Point', 'coordinates': [-87.699364, 41.813007]}",56,55,22248,156,3,Assistant Principal,Ms. Maricela Torres,{'url': 'https://twitter.com/Gsapanthers2014'},Half Day,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
400049,5870,67071,LEGACY,Legacy Charter School,ES,False,True,True,False,"Legacy Charter School is a public charter school educating approximately 468 scholars in Kindergarten through 8th gr. in Chicago's North Lawndale neighborhood. Legacy is an outstanding center for teaching and learning for children and their families that recognizes and nurtures the full potential of every child, provides a foundation for a college education, and educates its scholars to be creative and critical thinkers and responsible citizens in school, at home, and in the broader community. 
 
 
Legacy prepares its scholars for success in college and beyond, helping them build a robust academic intellectual foundation from which to grow. Beginning with full-day pre-k, and consistently through 8th gr. Legacy's curriculum emphasizes literacy, and sets the stage for sustainable academic achievement by its scholars. Our curriculum and culture emphasize both academic achievement and social-emotional growth. 
 
Legacy's curriculum educates the whole child. All scholars participate weekly in art, music, and physical education. Team sports and after school clubs are available to scholars, including tutoring, choir,  basketball, soccer, and the Boys & Girls Club.",Director,Liz Goss,3318 W OGDEN AVE,Chicago,Illinois,60623,773-542-1640,773-542-1699,{'url': 'https://www.cps.edu/schools/schoolprofiles/400049'},{'url': 'https://legacycharterchicago.org'},False,"K,1,2,3,4,5,6,7,8",K-8,447,378,65,5,419,22,3,1,1,0,0,1,0,0,There are 447 students enrolled at LEGACY.  84.6% are Low Income Students.  14.5% are Diverse Learners.  1.1% are Limited English Learners.,The largest demographic at LEGACY is Black.  This demographic makes up 93.7% of the student population.  The second greatest demographic is Hispanic at 4.9%.,True,Full Day,8:00 am-3:30 pm,08:00 AM,True,,"Blue, Pink",Level 1,NOT APPLICABLE,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Charter,False,False,False,False,41.856859,-87.730348,"{'type': 'Point', 'coordinates': [-87.730348, 41.856859]}",57,30,21569,753,14,Director of Finance & Operations,Tracy Smith-Jackson,{'url': 'http://twitter.com/legacy_charter'},Full Day,,{'url': 'http://www.facebook.com/LegacyCharterSchoolChicago'},{'url': 'http://www.youtube.com/LegacyCharter'},3:30 pm-5:30 pm,,,,,,,,,,,,,,,,,,,,,,,,
400134,9051,0,YCCS - ADDAMS,YCCS-Jane Addams Alternative HS,HS,True,False,False,False,YCCS-Jane Addams High School,Director,,1814 S UNION AVE,Chicago,Illinois,60616,312-563-1748,312-563-1756,{'url': 'https://www.cps.edu/schools/schoolprofiles/400134'},{'url': 'http://www.jahs.org'},False,"9,10,11,12",9-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,There is not any Demographic information for this school at this time,True,,8:30 AM - 3:10 PM,,True,"18, 8, 21",Orange,Level 1+,NOT APPLICABLE,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Options,False,False,False,False,41.857208,-87.644888,"{'type': 'Point', 'coordinates': [-87.644888, 41.857208]}",40,33,21194,249,48,,,,,,{'url': 'http://www.facebook.com/jahs'},,,24.8,67.2,,,,,,,,,,,,,,,,,,,,,,
400142,9059,0,YCCS - VIRTUAL,YCCS-Virtual HS,HS,True,False,False,False,,Director,,1900 W VAN BUREN ST,Chicago,Illinois,60612,312-429-0027,312-243-5733,{'url': 'https://www.cps.edu/schools/schoolprofiles/400142'},{'url': 'https://cps.edu/yccsvirtualhs'},False,"9,10,11,12",9-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,There is not any Demographic information for this school at this time,False,,,,,,,Inability to Rate,NOT APPLICABLE,"This school did not have enough data to receive a rating based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2022-2023,Options,False,False,False,False,41.876317,-87.674138,"{'type': 'Point', 'coordinates': [-87.674138, 41.876317]}",28,29,21184,90,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400147,9066,63141,CHICAGO EXCEL HS,Chicago Excel Academy HS,HS,True,False,False,False,School,Principal,Tyree Booker,1257 W 111TH ST,Chicago,Illinois,60643,773-629-8379,773-629-8736,{'url': 'https://www.cps.edu/schools/schoolprofiles/400147'},{'url': 'https://cameloteducation.org/excelroseland'},False,"9,10,11,12",9-12,208,155,20,1,199,5,0,0,0,0,0,1,0,3,There are 208 students enrolled at CHICAGO EXCEL HS.  74.5% are Low Income Students.  9.6% are Diverse Learners.  0.5% are Limited English Learners.,The largest demographic at CHICAGO EXCEL HS is Black.  This demographic makes up 95.7% of the student population.  The second greatest demographic is Hispanic at 2.4%.,True,,7:30 AM - 4:00 PM,,True,111,,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2022-2023,Options,False,False,False,False,41.691953,-87.654248,"{'type': 'Point', 'coordinates': [-87.654248, 41.691953]}",13,74,22212,663,22,,,,,,,,,31.3,67.2,28.9,78.9,,,,,,,,,,,,,,,,,,,,
609682,1110,53051,RICHARDS HS,Ellen H Richards Career Academy High School,HS,True,False,False,False,"Richards Career Academy...home of the Warriors!  Richards offers two award winning Career & Technical Education (CTE) programs: Culinary Arts and Business/Accounting.  Richards follows a 4x4 block schedule in which students have an opportunity to earn 8 credits per school year.  Students at Richards enjoy a variety of athletic and extra-curricular programs, including a partnership with the National Museum of Mexican Art's CASA program, Youth Guidance, and buildOn.  Restorative Practices are at the center of the school's effort to support all students.  The Student ChangeMakers provide powerful voice and input in to school improvement efforts.",Principal,Ellen Marie Kennedy,5009 S LAFLIN ST,Chicago,Illinois,60609,773-535-4945,773-847-6383,{'url': 'https://www.cps.edu/schools/schoolprofiles/609682'},{'url': 'http://richards.cps.edu'},True,"9,10,11,12",9-12,273,236,61,96,113,144,1,0,2,0,0,0,0,13,There are 273 students enrolled at RICHARDS HS.  86.4% are Low Income Students.  22.3% are Diverse Learners.  35.2% are Limited English Learners.,The largest demographic at RICHARDS HS is Hispanic.  This demographic makes up 52.7% of the student population.  The second greatest demographic is Black at 41.4%.,True,,7:45--3:16; 7:45--1:31 Wednesday,7:15am,True,"9, 51, 47","Green, Red",Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2022-2023,Network 16,True,False,False,True,41.802881,-87.662278,"{'type': 'Point', 'coordinates': [-87.662278, 41.802881]}",37,59,14924,677,4,Assistant Principal,Martin Walsh,,,True,,,3:30-6:00pm,37.8,67.2,64.3,78.9,"Spanish, Spanish for Heritage Speakers",False,School Culture Coordinator,Corbin Leeks,School Counselor,Yeri Bejar,School Counselor,Samantha Sklare,,,,,,,,,,,,
609737,1610,47081,VON STEUBEN HS,Friedrich W von Steuben Metropolitan Science HS,HS,True,False,False,False,"MISSION  
Prepare every student comprehensively for their next enriching educational opportunity.  
  
VISION 
We will develop the most supportive learning community for the students of Friedrich W. Von Steuben Metropolitan Science Center because everyone deserves the opportunity to realize their potential.  
 
Von Steuben offers two rigorous programs: Scholars and Magnet Science. Scholars is an all-honors, selective program for students who want the challenge of honors and AP level coursework. Magnet Science Program offers the same coursework as our Scholars Program with the option to vary the level of classes to individual goals. At Von Steuben, we pride ourselves on our students' academic and athletic achievements, providing a well-rounded high school program in a safe, diverse, and enriching atmosphere. Postsecondary goals are supported each year through counselor lessons, college tours, and enrichment activities, including our Von Connection summer program for incoming 9th graders. We offer many athletic, creative, and academic extracurricular activities. Special coursework and programs include Advanced Placement and Opt4STEM. 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}
 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}",Principal,Jennifer Miyoko Sutton,5039 N KIMBALL AVE,Chicago,Illinois,60625,773-534-5100,773-534-5210,{'url': 'https://www.cps.edu/schools/schoolprofiles/609737'},{'url': 'https://www.vonsteuben.org/'},False,"9,10,11,12",9-12,1635,1050,106,159,163,905,265,255,8,0,0,23,16,0,There are 1635 students enrolled at VON STEUBEN HS.  64.2% are Low Income Students.  6.5% are Diverse Learners.  9.7% are Limited English Learners.,The largest demographic at VON STEUBEN HS is Hispanic.  This demographic makes up 55.4% of the student population.  The second greatest demographic is White at 16.2%.,False,,7:30-2:55,6:30,True,"81, 82, 92, 93",Brown,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2022-2023,Network 14,True,False,False,True,41.973185,-87.713386,"{'type': 'Point', 'coordinates': [-87.713386, 41.973185]}",20,13,21849,167,38,Assistant Principal,Katie Hallberg,{'url': 'https://twitter.com/VonSteubenMSC'},,False,,,,82.9,67.2,91.5,78.9,"Chinese, French, Spanish",False,Assistant Principal,Patrick Reget,Assistant Principal,Israel Urbina,Operations Manager,Christopher Burney,7:30-2:55,Admissions Director,Carla Escobar,,,,,,,,,
609804,2320,22271,BOONE,Daniel Boone Elementary School,ES,False,True,True,True,"As a Fine and Performing Arts Magnet Cluster School, Boone School's Expressive Arts teachers provide instruction in Visual Art, Dance, Music, Drama, Library, and Physical Education. We also integrate the arts throughout our curriculum to ensure that students have regular opportunities to perform, share, and explore their artistic and athletic abilities. 
 
  Boone Vision:  Kindness, creativity, and an understanding of diverse perspectives will guide us as we intentionally engage in learning opportunities and take action to bring about positive change in our world.  
   Boone Mission : We actively seek to learn more about ourselves, others, and the world through the arts and through learning opportunities that respond to our identities and promote positive relationships. We rise up to advocate for ourselves and others so that everyone is valued and empowered.",Principal,Jaclyn Delaney,6710 N WASHTENAW AVE,Chicago,Illinois,60645,773-534-2160,773-534-2190,{'url': 'https://www.cps.edu/schools/schoolprofiles/609804'},{'url': 'https://boone.cps.edu'},True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",732,553,77,435,76,290,92,258,4,0,0,12,0,0,There are 732 students enrolled at BOONE.  75.5% are Low Income Students.  10.5% are Diverse Learners.  59.4% are Limited English Learners.,The largest demographic at BOONE is Hispanic.  This demographic makes up 39.6% of the student population.  The second greatest demographic is Asian at 35.2%.,True,Full Day,08:15 AM-03:15 PM,,True,93,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2022-2023,Network 2,True,False,True,False,42.003412,-87.697463,"{'type': 'Point', 'coordinates': [-87.697463, 42.003412]}",12,20,22528,40,27,Assistant Principal,Jose Moreno,{'url': 'https://twitter.com/BooneCPS'},Half Day,True,{'url': 'https://www.facebook.com/CPSBoone'},,3:15 - 4:30,,,,,,True,Assistant Principal,Allison Qualkinbush,Counselor,Julia Rowe,Clerk,Shamiram Shahbaz,,,,,,,,,,,,
609821,2480,22431,BURNHAM,Burnham Elementary Inclusive Academy,ES,False,True,True,True,"Burnham Math & Science Academy is a Science Magnet Cluster school.  The school’s focus is to provide high-quality instruction through rigorous implementation of Balanced Literary Instruction, as well as the Chicago Math and Science Initiative Program.",Principal,Sheryl Paulette Freeman,9928 S CRANDON AVE,Chicago,Illinois,60617,773-535-6530,773-535-6515,{'url': 'https://www.cps.edu/schools/schoolprofiles/609821'},{'url': 'https://cps.edu/burnham'},True,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",423,346,68,9,404,15,1,0,1,0,0,2,0,0,There are 423 students enrolled at BURNHAM.  81.8% are Low Income Students.  16.1% are Diverse Learners.  2.1% are Limited English Learners.,The largest demographic at BURNHAM is Black.  This demographic makes up 95.5% of the student population.  The second greatest demographic is Hispanic at 3.5%.,True,Full Day,08:45 AM-03:45 PM,8:30 a.m.,True,"15, 95E, 100",Red,Level 2,PROVISIONAL SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2022-2023,Network 13,True,False,True,False,41.714402,-87.567131,"{'type': 'Point', 'coordinates': [-87.567131, 41.714402]}",25,48,21202,252,37,Assistant Principal,Cassondra P. Lockridge,,Full Day,,,,3:45 p.m.-6:00 p.m.,,,,,,,Office Manager,Justin Dortch,,,,,,,,True,,,,,,,,
