school_id,short_name,long_name,school_type,primary_category,address,city,state,zip,phone,fax,cps_school_profile,website,progress_report_year,excelerate_award_gold_year,student_growth_rating,student_growth_description,student_attainment_rating,student_attainment_description,culture_climate_rating,culture_climate_description,school_survey_student_response,school_survey_student_response_1,school_survey_teacher_response,school_survey_teacher_response_1,healthy_school_certification,healthy_school_certification_1,creative_school_certification_1,school_survey_involved,school_survey_supportive,school_survey_ambitious,school_survey_effective,school_survey_collaborative,school_survey_safety,suspensions_per_100_students,suspensions_per_100_students_2,misconducts_to_suspensions,misconducts_to_suspensions_2,average_length_suspension,average_length_suspension_2,behavior_discipline_year,behavior_discipline_year_1,student_attendance_year_2,student_attendance_avg_pct,teacher_attendance_year_1,teacher_attendance_year_2,teacher_attendance_avg_pct,other_metrics_year_1,other_metrics_year_2,progress_toward_graduation,progress_toward_graduation_1,state_school_report_card,mobility_rate_pct,chronic_truancy_pct,supportive_school_award,supportive_school_award_desc,parent_survey_results_year,school_latitude,school_longitude,sat_grade_11_score_school,sat_grade_11_score_cps_avg,attainment_sat_grade_11_school,attainment_sat_grade_11_school_1,one_year_dropout_rate_year,one_year_dropout_rate_year_1,one_year_dropout_rate_avg,freshmen_on_track_school,freshmen_on_track_cps_pct,graduation_4_year_school,graduation_4_year_cps_pct,graduation_4_year_school_1,graduation_4_year_cps_pct_1,graduation_5_year_school,graduation_5_year_cps_pct,graduation_5_year_school_1,graduation_5_year_cps_pct_1,college_enrollment_school,college_enrollment_cps_pct,college_enrollment_school_1,college_enrollment_cps_pct_1,college_persistence_school,college_persistence_cps_pct,college_persistence_school_1,college_persistence_cps_pct_1,suspensions_per_100_students_1,misconducts_to_suspensions_1,average_length_suspension_1,improvement_award_year,excellence_award_year,blue_ribbon_award_year,spot_light_award_year
610193,NEW SULLIVAN,William K New Sullivan Elementary School,Neighborhood,ES,8331 S MACKINAW AVE,Chicago,Illinois,60617,773-535-6585,773-535-6561,{'url': 'https://www.cps.edu/schools/schoolprofiles/610193'},{'url': 'https://newsullivan.cps.edu'},2021,2021,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,MODERATELY ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",60.5,59,75.9,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,4.1,0,67.7,1.1,1.9 days,1.7 days,2020,2021,87.5,89.1,93.6,82.6,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990252474'},14.6,42.2,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2021,41.743829,-87.542928,0,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609978,SMITH,Wendell Smith Elementary School,Neighborhood,ES,744 E 103RD ST,Chicago,Illinois,60628,773-535-5689,773-535-5101,{'url': 'https://www.cps.edu/schools/schoolprofiles/609978'},{'url': 'https://wendellsmith.cps.edu'},2021,2021,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NOT ENOUGH DATA,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",2.4,59,32.4,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,0.6,0,2.1,1.1,2.0 days,1.7 days,2020,2021,85.8,89.1,94.2,85.9,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990252768'},8.1,40.1,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.707558,-87.60466,0,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609695,AMUNDSEN HS,Roald Amundsen High School,Neighborhood,HS,5110 N DAMEN AVE,Chicago,Illinois,60625,773-534-2320,773-534-2330,{'url': 'https://www.cps.edu/schools/schoolprofiles/609695'},{'url': 'http://www.amundsenhs.org'},2021,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",WELL ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",16,59,51.7,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,3,0,19.7,1.1,1.6 days,1.7 days,2020,2021,84.4,89.1,96.4,88.6,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250001'},4.9,43.2,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.975067,-87.679484,967,940,34.1,34.1,0.4,0.6,3.8,96.2,86.7,84.3,80.2,84.4,80.6,86.6,83.8,88.3,82.5,68,61.9,69.9,67,75.1,71.7,71.6,73.7,,,,,,,
610104,ONAHAN,William J Onahan Elementary School,Neighborhood,ES,6634 W RAVEN ST,Chicago,Illinois,60631,773-534-1180,773-534-1163,{'url': 'https://www.cps.edu/schools/schoolprofiles/610104'},{'url': 'https://onahanschool.org'},2021,2021,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,WELL ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",65.2,59,82.1,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",VERY STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,,0,,1.1,,1.7 days,2020,2021,96.8,89.1,95.4,94.1,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990252383'},4.6,7.2,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.99379,-87.793108,0,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610389,ORR HS,Orr Academy High School,Neighborhood,HS,730 N PULASKI RD,Chicago,Illinois,60624,773-534-6500,773-534-6504,{'url': 'https://www.cps.edu/schools/schoolprofiles/610389'},{'url': 'https://orracademy.org'},2021,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",69.8,59,77.3,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,NOT ENOUGH DATA,17.5,0,35.3,1.1,2.0 days,1.7 days,2020,2021,58.7,89.1,93.8,79.1,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250847'},26.5,69.9,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,2021,41.894449,-87.726166,795,940,5.3,5.3,24.1,9.7,3.8,100,86.7,51.9,80.2,47.8,80.6,49.3,83.8,46.7,82.5,28.6,61.9,54.3,67,48,71.7,34.8,73.7,,,,,,,
400061,PERSPECTIVES - LEADERSHIP HS,Perspectives - Leadership Academy,Charter,HS,8522 S LAFAYETTE AVE,Chicago,Illinois,60620,773-358-6100,773-358-6199,{'url': 'https://www.cps.edu/schools/schoolprofiles/400061'},{'url': 'http://www.pcsedu.org'},2021,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",WELL ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",80.4,59,86,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,,0,,1.1,,1.7 days,2020,2021,83.6,89.1,,,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025051C'},4,49,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.745961,-87.652045,807,940,2.6,2.6,7.3,3.7,3.8,62.3,86.7,88.5,80.2,72,80.6,74,83.8,79.2,82.5,36.2,61.9,54.7,67,44.7,71.7,44.2,73.7,,,,,,,
609761,CORLISS HS,George H Corliss High School,Neighborhood,HS,821 E 103RD ST,Chicago,Illinois,60628,773-535-5115,773-535-5511,{'url': 'https://www.cps.edu/schools/schoolprofiles/609761'},{'url': 'https://newcorlisshs.org'},2021,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",59.7,59,90.6,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,16.5,0,26,1.1,1.8 days,1.7 days,2020,2021,76.3,89.1,94.5,85.8,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250543'},11.3,62.4,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2021,41.70666,-87.601216,783,940,3.8,3.8,2.5,4.1,3.8,81.7,86.7,60.3,80.2,55,80.6,62.3,83.8,68.6,82.5,45.1,61.9,47.4,67,50,71.7,35.1,73.7,,,,,,,
609786,AVALON PARK,Avalon Park Elementary School,Neighborhood,ES,8045 S KENWOOD AVE,Chicago,Illinois,60619,773-535-6615,773-535-6660,{'url': 'https://www.cps.edu/schools/schoolprofiles/609786'},{'url': 'https://avalonparkarts.org/'},2021,2021,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,PARTIALLY ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",50,59,81.8,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,0.8,0,11.8,1.1,3.0 days,1.7 days,2020,2021,89.1,89.1,94.8,89.9,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990252063'},12.2,34.8,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2021,41.748247,-87.591654,0,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610047,MADISON,James Madison Elementary School,Neighborhood,ES,7433 S DORCHESTER AVE,Chicago,Illinois,60619,773-535-0551,773-535-0582,{'url': 'https://www.cps.edu/schools/schoolprofiles/610047'},{'url': 'https://madison.cps.edu'},2021,2021,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,WELL ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",73.2,59,85,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",STRONG,NEUTRAL,STRONG,STRONG,STRONG,NOT ENOUGH DATA,3.9,0,21.1,1.1,3.5 days,1.7 days,2020,2021,91.5,89.1,94.3,87.7,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990252324'},12.9,28.5,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.759548,-87.590712,0,940,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609769,GRAHAM HS,Ray Graham Training Center High School,Special Education,HS,2347 S WABASH AVE,Chicago,Illinois,60616,773-534-9257,773-534-9247,{'url': 'https://www.cps.edu/schools/schoolprofiles/609769'},{'url': 'https://raygrahamtrainingcenterhs.com'},2021,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",ORGANIZED,"5Essentials is based on the My Voice, My School 5Essentials survey of teachers and 6th-12th grade students. To see the complete report for your school, visit  https://www.5-essentials.org/ .",58.9,59,84.9,71,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  http://www.cpsarts.org/ .",STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,0.7,0,12.5,1.1,2.0 days,1.7 days,2020,2021,82.5,89.1,92.4,84.8,89,2020,2021,2020,2021,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990253715'},,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2021,41.849675,-87.625315,0,940,0,0,1.9,2.4,3.8,,,,,,,,,,,,,,67,,,,,,,,,,,
