school_id,school_short_name,school_name,street_address,city,state,zip,website,managed_by_network,geographic_network,school_track,overall_rating,on_probation,years_on_probation,growth_overall_level,student_performance_level,over_time_explore_2010,over_time_plan_2011,over_time_act_2012,average_score_explore_2012,average_score_plan_2012,average_score_act_2012,_5_year_cohort_graduation_rate_2011_percent,_5_year_cohort_graduation_rate_2012_percent,one_year_dropout_rate_2011_percent,one_year_dropout_rate_2012_percent,freshman_on_track_to_graduate_2011_percent,freshman_on_track_to_graduate_2012_percent,college_eligibility_2011_percent,college_eligibility_2012_percent,college_enrollment_2011_percent,college_enrollment_2012_percent,college_retention_2009_percent,college_retention_2010_percent,overall_foundation,involved_families,supportive_environment,ambitious_instruction,effective_leaders,collaborative_teachers,safety,misconducts_resulting_in_suspensions_2011_percent,misconducts_resulting_in_suspensions_2012_percent,average_days_of_suspension_2011,average_days_of_suspension_2012,student_attendance_2011_percent,student_attendance_2012_percent,teacher_attendance_2011_percent,teacher_attendance_2012_percent,healthy_school_certified,x_coordinate,y_coordinate,longitude,latitude,location,growth_explore,growth_plan,growth_act,growth_all_grades,blue_ribbon_award,blue_ribbon_award_year
610340,Chgo Acad HS,Chicago Academy High School,3400 N Austin Ave,Chicago,IL,60634,http://www.chicagoacademy.org,AUSL Schools,North-Northwest Side High School Network,Standard,Level 1,No,0,Not Enough Data,Below Average,14.52,16.41,19.3,15.22,16.26,19.3,70.10,71,5.50,4,80.60,82.20,23.90,35.20,64.20,75.80,75.60,71,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Strong,14.50,4.50,1.9,2.6,93.10,93.60,96.10,95.60,No,1135740.091,1922002.941,-87.77650575,41.94215439,"{'latitude': '-87.77650575', 'longitude': '41.94215439'}",,,,,,
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,Chicago,IL,60644,http://www.austinbusinessacademy.net,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,4,Above Average,Far Below Average,12.06,13.04,14.1,11.95,13.27,14.1,65.60,54.40,13.80,6.90,,,12.20,,51.30,54.10,,47.70,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,73.20,28.30,3.6,2.5,76,73,,94.30,No,1139494.763,1901274.258,-87.76321191,41.88520477,"{'latitude': '-87.76321191', 'longitude': '41.88520477'}",70.20,69.60,54.40,64.00,,
610524,Alcott HS,Alcott High School for the Humanities,2957 N Hoyne Ave,Chicago,IL,60618,http://www.alcotths.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,Below Average,15.49,16.28,18,14.5,15.81,18,,,4.80,1.80,87.60,82.60,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,40,31.30,2.1,2.6,92.70,92.20,96.90,,No,1161870.556,1919857.44,-87.68052441,41.93576106,"{'latitude': '-87.68052441', 'longitude': '41.93576106'}",54.00,61.20,68.30,61.10,,
609678,Jones HS,William Jones College Preparatory High School,606 S State St,Chicago,IL,60605,http://www.jonescollegeprep.org,South Side High School Network,South Side High School Network,Standard,Level 1,No,0,Above Average,Far Above Average,19.69,21.13,25.1,20.8,22.06,25.1,90.10,87.10,1.60,1.50,92.80,98,83.30,80.70,86.90,92.20,91,90.80,Organized,Strong,Strong,Strong,Weak,Weak,Very Strong,24.70,10.60,6,4.5,93.80,93.90,95.30,95.30,No,1176412.354,1897618.088,-87.62775497,41.87441898,"{'latitude': '-87.62775497', 'longitude': '41.87441898'}",,,61.90,61.70,Yes,2012
609692,Simeon HS,Neal F Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,IL,60620,http://www.simeonca.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,Below Average,14.47,14.83,16.9,14.13,15.26,16.9,75.20,73.50,5.30,4.60,68.50,66.70,14.80,11,74,77.20,72,70,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,93,97.30,4.7,4,78.60,80.60,94.30,94.60,No,1174719.074,1850730.192,-87.63537,41.74579217,"{'latitude': '-87.63537', 'longitude': '41.74579217'}",47.70,56.20,73.00,58.70,,
609759,Clemente HS,Roberto Clemente Community Academy High School,1147 N Western Ave,Chicago,IL,60622,http://www.rccachicago.org/,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Below Average,Far Below Average,12.59,13.38,15,13.46,14.24,15,49.50,52,7.50,1.30,58.90,92.60,12.50,13.50,41.50,43.10,64.70,51.40,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Neutral,41.30,77.20,2.8,5,69.60,78.70,94.20,95.50,No,1160235.206,1907768.877,-87.68686934,41.90262318,"{'latitude': '-87.68686934', 'longitude': '41.90262318'}",46.60,44.20,,45.50,,
609735,Tilden HS,Edward Tilden Career Community Academy HS,4747 S Union Ave,Chicago,IL,60609,http://www.tildencca.org/,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,9,Far Below Average,Far Below Average,12.22,13.02,13.5,11.58,13.3,13.5,41.10,33.90,8,12.60,86.50,58.60,10.50,8.20,37,30.20,50,54.70,Not Yet Organized,Weak,Neutral,Weak,Weak,Weak,Weak,56.80,38.70,5.4,4.2,78.40,71.20,95.20,94.10,No,1172475.474,1873203.826,-87.64292985,41.80751207,"{'latitude': '-87.64292985', 'longitude': '41.80751207'}",23.30,51.20,37.10,38.30,,
609713,Hyde Park HS,Hyde Park Academy High School,6220 S Stony Island Ave,Chicago,IL,60637,http://www.hydeparkcps.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,Below Average,13.02,14.04,16,12.69,14.19,16,51.10,53.30,9.40,13.90,63.70,60.50,11.10,12.90,57.60,65.10,69.50,70.90,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Weak,92.50,92.90,3.3,3.2,70.50,67.70,94.20,94.20,No,1187898.897,1864121.427,-87.58665115,41.78223539,"{'latitude': '-87.58665115', 'longitude': '41.78223539'}",58.50,55.80,51.40,55.00,,
609729,Schurz HS,Carl Schurz High School,3601 N Milwaukee Ave,Chicago,IL,60641,http://www.schurzhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,9,Below Average,Far Below Average,13.42,14.25,15.5,13.93,14.58,15.5,62.10,64.60,5.30,4.80,61.60,66,9.70,15.50,40.40,40.70,65.70,62.10,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,83,87.10,2.1,1.7,81.20,82,96,95.20,No,1146851.198,1923627.843,-87.73562542,41.94640794,"{'latitude': '-87.73562542', 'longitude': '41.94640794'}",31.60,52.60,59.90,46.30,,
609715,Kelly HS,Thomas Kelly High School,4136 S California Ave,Chicago,IL,60632,http://www.kellyhs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,1,Above Average,Below Average,13.41,14.58,16.8,13.63,15.4,16.8,67.40,73.90,0.90,5.50,65.60,63.50,22.10,23.50,46.40,54.90,78.50,71,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,55.70,55.50,4.3,3.8,89.30,88.50,95.30,95,No,1158337.786,1877175.576,-87.69467483,41.81871101,"{'latitude': '-87.69467483', 'longitude': '41.81871101'}",56.80,66.60,62.70,62.30,,
