table_name, num_of_neighbors
dd6w-hnq9.csv,526985
f33j-ecpr.csv,425301
u4hi-kt3x.csv,293006
njjd-3gve.csv,265361
3mpc-kqwk.csv,252237
ijzq-5wy8.csv,237930
rb38-kd48.csv,208850
psx2-aqx3.csv,185140
c4vk-jvzy.csv,168021
mpk5-48av.csv,132891
yeba-ynb5.csv,125576
budf-qanm.csv,125386
64pu-zyr2.csv,124206
jpcp-ic7c.csv,110360
t5qg-w9sq.csv,110068
naib-xtez.csv,106373
6bqn-qdwq.csv,87250
grnn-mvqe.csv,86152
fdpt-nzk4.csv,74361
j46y-iqiq.csv,61862
xkzb-irtw.csv,56360
a5rk-jemi.csv,51801
dvaj-b7yx.csv,49420
w9dc-u4ik.csv,47589
36qa-cicj.csv,47226
23z9-6uk9.csv,45814
cznr-hmrv.csv,45261
wks3-66bn.csv,45159
6e44-8i2s.csv,44532
nbdj-ya9f.csv,44021
uqxv-h2se.csv,43452
imfa-v5pv.csv,43248
jzt2-2f7h.csv,42809
diks-hcwd.csv,42725
mq9d-au8i.csv,42243
wxmz-2gii.csv,40763
vw9i-7mzq.csv,40532
rgyu-ii48.csv,40483
py32-wyad.csv,39825
i85y-pwpn.csv,39384
yhck-bxbs.csv,39143
ahcp-vck8.csv,38794
76hw-72td.csv,38700
ew6u-9hb3.csv,38361
tpt8-yikk.csv,38062
aqqw-n6ec.csv,38060
77q4-nkfh.csv,38027
kcey-vehy.csv,37972
kx6j-f3vm.csv,37766
yr5p-wjer.csv,37724
cts7-vksw.csv,37624
s3k6-pzi2.csv,37304
2ji4-fd5z.csv,37218
j9we-9a43.csv,36971
uq7m-95z8.csv,36844
ya22-5bh7.csv,36368
4rz2-mrsh.csv,36301
usc3-8zwd.csv,35843
4tys-3tzj.csv,35640
nbun-wekj.csv,35279
8y4t-faws.csv,35238
r5p4-2qap.csv,33998
kjpz-79mu.csv,33998
f6s7-vytj.csv,33955
xdd4-2y5h.csv,33816
wcm8-aq5w.csv,33386
xgcb-9jsr.csv,32999
45nu-yrf2.csv,32401
r4c5-ndkx.csv,32237
rc75-m7u3.csv,30127
utpj-74fz.csv,29288
juyv-2jek.csv,28494
jtpv-nuuc.csv,27405
4t62-jm4m.csv,25436
29bv-qqsy.csv,25389
qgc5-ecnb.csv,24812
5sbz-5u89.csv,24727
a44d-m6ak.csv,24427
p9cr-nt9j.csv,24001
s67q-ee5u.csv,23948
kg6x-kv5b.csv,23473
64uk-42ks.csv,23356
7t9i-jsfp.csv,23060
k7nh-aufb.csv,23039
m8p6-tp4b.csv,22981
hebw-6hze.csv,22973
r6ub-zhff.csv,22307
2ps2-dsjr.csv,22222
fg5j-q5nk.csv,22054
2t32-hbca.csv,21745
2jg5-6hqv.csv,21687
dm9a-ab7w.csv,21502
kku6-nxdu.csv,20844
6bic-qvek.csv,20844
rear-wh5i.csv,20367
kevu-8hby.csv,19773
kswi-37bp.csv,19591
